accuracy,algorithm,k,run_time,sample_size
0.3512,knn,1,0.188561734729,100
0.7634,knn,1,0.827126869131,1000
0.8408,knn,1,1.60100647908,2000
0.91,knn,1,3.08657362209,5000
0.942,knn,1,11.1003519854,10000
0.9552,knn,1,16.9502465095,15000
0.2864,knn,3,0.67684478045,100
0.6788,knn,3,1.21648665419,1000
0.7868,knn,3,1.84850770746,2000
0.886,knn,3,3.90861891792,5000
0.9266,knn,3,11.9744108168,10000
0.9378,knn,3,24.114075184,15000
0.2428,knn,5,1.37328160673,100
0.6376,knn,5,1.99746242061,1000
0.7604,knn,5,2.88603642842,2000
0.8638,knn,5,6.10820548151,5000
0.9122,knn,5,16.7359352289,10000
0.9288,knn,5,19.8730748458,15000
0.233,knn,7,1.0477478876,100
0.6058,knn,7,1.47535567379,1000
0.7192,knn,7,2.08868570578,2000
0.8388,knn,7,4.20506156003,5000
0.901,knn,7,12.2117677144,10000
0.9216,knn,7,18.555807717,15000
0.1926,knn,9,1.20136124415,100
0.5882,knn,9,1.59677461429,1000
0.7158,knn,9,2.19631088812,2000
0.8272,knn,9,4.25352573436,5000
0.8966,knn,9,12.3908141679,10000
0.9164,knn,9,18.7214307432,15000
0.3346,cnn,1,0.358630442657,100
0.7084,cnn,1,25.4958444678,1000
0.7986,cnn,1,101.722372821,2000
0.8632,cnn,1,692.76953656,5000
0.901,cnn,1,2682.37903585,10000
0.9262,cnn,1,4899.16370509,15000
0.2202,cnn,3,0.815925427494,100
0.505,cnn,3,14.8000225791,1000
0.6096,cnn,3,61.7999310654,2000
0.7204,cnn,3,437.292277916,5000
0.7854,cnn,3,2381.68049207,10000
0.8126,cnn,3,7402.68211494,15000
0.2008,cnn,5,1.55629564724,100
0.4716,cnn,5,23.7407337085,1000
0.5554,cnn,5,94.9059778511,2000
0.6624,cnn,5,663.098081677,5000
0.7104,cnn,5,3117.53877036,10000
0.7528,cnn,5,6606.07092008,15000
0.2156,cnn,7,1.24600408219,100
0.4324,cnn,7,15.1863230714,1000
0.5086,cnn,7,64.4526915062,2000
0.5964,cnn,7,424.744435307,5000
0.656,cnn,7,1882.99985503,10000
0.7012,cnn,7,4547.50935984,15000
0.1564,cnn,9,1.38992554466,100
0.3988,cnn,9,15.3501654302,1000
0.479,cnn,9,62.5936764069,2000
0.5686,cnn,9,426.214796217,5000
0.6178,cnn,9,1851.90000038,10000
0.6584,cnn,9,4526.20350326,15000
