initialized,iters,n,trial
no,5.0,10,1
yes,0.0,10,1
no,11.0,10,2
yes,6.0,10,2
no,262.0,10,3
yes,880.0,10,3
no,9.0,10,4
yes,13.0,10,4
no,23.0,10,5
yes,21.0,10,5
no,13.0,10,6
yes,0.0,10,6
no,48.0,10,7
yes,18.0,10,7
no,967.0,10,8
yes,10.0,10,8
no,49.0,10,9
yes,85.0,10,9
no,62.0,10,10
yes,52.0,10,10
no,8.0,10,11
yes,0.0,10,11
no,9.0,10,12
yes,2.0,10,12
no,15.0,10,13
yes,0.0,10,13
no,4.0,10,14
yes,0.0,10,14
no,61.0,10,15
yes,32.0,10,15
no,1.0,10,16
yes,0.0,10,16
no,11.0,10,17
yes,8.0,10,17
no,3.0,10,18
yes,0.0,10,18
no,1.0,10,19
yes,0.0,10,19
no,19.0,10,20
yes,19.0,10,20
no,4.0,10,21
yes,0.0,10,21
no,7.0,10,22
yes,0.0,10,22
no,24.0,10,23
yes,0.0,10,23
no,10.0,10,24
yes,0.0,10,24
no,17.0,10,25
yes,13.0,10,25
no,10.0,10,26
yes,0.0,10,26
no,43.0,10,27
yes,0.0,10,27
no,33.0,10,28
yes,4.0,10,28
no,170.0,10,29
yes,73.0,10,29
no,54.0,10,30
yes,23.0,10,30
no,7.0,10,31
yes,6.0,10,31
no,17.0,10,32
yes,25.0,10,32
no,84.0,10,33
yes,31.0,10,33
no,14.0,10,34
yes,15.0,10,34
no,13.0,10,35
yes,0.0,10,35
no,1.0,10,36
yes,0.0,10,36
no,9.0,10,37
yes,11.0,10,37
no,25.0,10,38
yes,17.0,10,38
no,34.0,10,39
yes,0.0,10,39
no,54.0,10,40
yes,68.0,10,40
no,105.0,10,41
yes,58.0,10,41
no,8.0,10,42
yes,0.0,10,42
no,5.0,10,43
yes,11.0,10,43
no,32.0,10,44
yes,33.0,10,44
no,14.0,10,45
yes,0.0,10,45
no,22.0,10,46
yes,34.0,10,46
no,1.0,10,47
yes,0.0,10,47
no,19.0,10,48
yes,2.0,10,48
no,60.0,10,49
yes,33.0,10,49
no,13.0,10,50
yes,0.0,10,50
no,1.0,10,51
yes,0.0,10,51
no,13.0,10,52
yes,0.0,10,52
no,6.0,10,53
yes,6.0,10,53
no,1.0,10,54
yes,0.0,10,54
no,18.0,10,55
yes,0.0,10,55
no,10.0,10,56
yes,5.0,10,56
no,12.0,10,57
yes,10.0,10,57
no,11.0,10,58
yes,0.0,10,58
no,31.0,10,59
yes,0.0,10,59
no,17.0,10,60
yes,0.0,10,60
no,22.0,10,61
yes,2.0,10,61
no,297.0,10,62
yes,299.0,10,62
no,3.0,10,63
yes,0.0,10,63
no,14.0,10,64
yes,9.0,10,64
no,15.0,10,65
yes,21.0,10,65
no,74.0,10,66
yes,29.0,10,66
no,7.0,10,67
yes,13.0,10,67
no,43.0,10,68
yes,59.0,10,68
no,11.0,10,69
yes,2.0,10,69
no,33.0,10,70
yes,49.0,10,70
no,42.0,10,71
yes,17.0,10,71
no,5.0,10,72
yes,57.0,10,72
no,6.0,10,73
yes,2.0,10,73
no,10.0,10,74
yes,0.0,10,74
no,59.0,10,75
yes,87.0,10,75
no,46.0,10,76
yes,25.0,10,76
no,71.0,10,77
yes,6.0,10,77
no,5.0,10,78
yes,0.0,10,78
no,7.0,10,79
yes,0.0,10,79
no,13.0,10,80
yes,0.0,10,80
no,24.0,10,81
yes,4.0,10,81
no,1.0,10,82
yes,0.0,10,82
no,47.0,10,83
yes,55.0,10,83
no,3.0,10,84
yes,0.0,10,84
no,10.0,10,85
yes,0.0,10,85
no,39.0,10,86
yes,73.0,10,86
no,3605.0,10,87
yes,2735.0,10,87
no,19.0,10,88
yes,21.0,10,88
no,6.0,10,89
yes,0.0,10,89
no,19.0,10,90
yes,23.0,10,90
no,3.0,10,91
yes,0.0,10,91
no,27.0,10,92
yes,39.0,10,92
no,740.0,10,93
yes,362.0,10,93
no,13.0,10,94
yes,29.0,10,94
no,97.0,10,95
yes,99.0,10,95
no,14.0,10,96
yes,0.0,10,96
no,3.0,10,97
yes,0.0,10,97
no,11.0,10,98
yes,13.0,10,98
no,21.0,10,99
yes,35.0,10,99
no,17.0,10,100
yes,6.0,10,100
no,59.0,50,1
yes,61.0,50,1
no,95.0,50,2
yes,11.0,50,2
no,639.0,50,3
yes,863.0,50,3
no,124.0,50,4
yes,166.0,50,4
no,9494.0,50,5
yes,8727.0,50,5
no,199.0,50,6
yes,367.0,50,6
no,23.0,50,7
yes,93.0,50,7
no,38.0,50,8
yes,12.0,50,8
no,9.0,50,9
yes,40.0,50,9
no,105.0,50,10
yes,121.0,50,10
no,354.0,50,11
yes,142.0,50,11
no,70.0,50,12
yes,41.0,50,12
no,26.0,50,13
yes,32.0,50,13
no,64.0,50,14
yes,51.0,50,14
no,191.0,50,15
yes,69.0,50,15
no,4.0,50,16
yes,0.0,50,16
no,35.0,50,17
yes,58.0,50,17
no,98.0,50,18
yes,59.0,50,18
no,19.0,50,19
yes,120.0,50,19
no,49.0,50,20
yes,42.0,50,20
no,120.0,50,21
yes,376.0,50,21
no,7.0,50,22
yes,34.0,50,22
no,30.0,50,23
yes,89.0,50,23
no,22.0,50,24
yes,0.0,50,24
no,76.0,50,25
yes,131.0,50,25
no,12.0,50,26
yes,58.0,50,26
no,81.0,50,27
yes,0.0,50,27
no,300.0,50,28
yes,117.0,50,28
no,419.0,50,29
yes,112.0,50,29
no,201.0,50,30
yes,211.0,50,30
no,4057.0,50,31
yes,15092.0,50,31
no,487.0,50,32
yes,645.0,50,32
no,25.0,50,33
yes,43.0,50,33
no,29.0,50,34
yes,20.0,50,34
no,163.0,50,35
yes,166.0,50,35
no,60.0,50,36
yes,64.0,50,36
no,77.0,50,37
yes,52.0,50,37
no,3.0,50,38
yes,22.0,50,38
no,21.0,50,39
yes,9.0,50,39
no,26.0,50,40
yes,36.0,50,40
